Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd
20210121,clip_29_1537,5,2021-01-21 15:37:00,4.0,83,0.0,1.5,183,8.4,2,0.0,0.0021108523942530155,0.0012053279
20210122,clip_0_0000,5,2021-01-22 00:00:00,4.4,77,0.0,0.8,191,8.0,0,0.0,0.005371498875319958,0.0031182
20210122,clip_51_2359,59,2021-01-22 23:59:00,3.0,85,0.0,0.7,236,4.6,0,0.0,0.0012937812134623528,0.0006923547
20210122,clip_39_1830,32,2021-01-22 18:30:00,4.3,93,0.2,3.3,237,5.5,0,0.0,0.006135427393019199,0.0028164624
20210122,clip_18_0808,5,2021-01-22 08:08:00,3.4,90,0.0,1.9,190,4.9,11,0.0,0.006095677148550749,0.0032115423
20210123,clip_0_0000,5,2021-01-23 00:00:00,2.9,86,0.0,0.9,230,4.4,0,0.0,0.0012425810564309359,0.0006511302
20210123,clip_51_2353,115,2021-01-23 23:53:00,1.8,93,0.0,0.8,139,2.6,0,0.0,0.0030806814320385456,0.0015659896
20210123,clip_14_0607,5,2021-01-23 06:07:00,0.6,93,0.0,-0.5,208,2.4,0,0.0,0.005596051923930645,0.0033741535
20210123,clip_23_1108,107,2021-01-23 11:08:00,2.1,90,0.0,0.7,185,1.9,109,0.0,0.0043295081704854965,0.0025177607
20210124,clip_0_0000,5,2021-01-24 00:00:00,1.8,93,0.0,0.8,136,2.6,0,0.0,0.0023429393768310547,0.0011243531
20210124,clip_47_2209,115,2021-01-24 22:09:00,-0.9,100,0.0,-0.9,238,0.7,0,0.0,0.001219836762174964,0.00053627545
20210124,clip_16_0717,115,2021-01-24 07:17:00,0.1,98,0.0,-0.2,291,0.8,0,0.0,0.002696322277188301,0.0013972374
20210124,clip_25_1113,115,2021-01-24 11:13:00,1.0,98,0.0,0.8,216,1.2,124,0.0,0.004013680852949619,0.0022775494
20210125,clip_0_0000,5,2021-01-25 00:00:00,-0.4,100,0.0,-0.4,201,1.2,0,0.0,0.0018977109575644135,0.00087680743
20210125,clip_49_2341,115,2021-01-25 23:41:00,-3.7,99,0.0,-3.8,226,1.2,0,0.0,0.0033918838016688824,0.0017623099
20210125,clip_24_1246,115,2021-01-25 12:46:00,3.0,75,0.0,-1.0,29,1.9,309,10.0,0.005330291576683521,0.0025281913
20210125,clip_34_1705,5,2021-01-25 17:05:00,-0.6,96,0.0,-1.1,0,0.0,0,0.0,0.004123339429497719,0.0021930148
20210126,clip_0_0000,5,2021-01-26 00:00:00,-3.5,99,0.0,-3.6,230,0.7,0,0.0,0.003177331993356347,0.0016011973
20210126,clip_50_2306,115,2021-01-26 23:06:00,-0.1,97,0.0,-0.5,211,2.2,0,0.0,0.00410491693764925,0.0025169358
20210126,clip_21_0947,5,2021-01-26 09:47:00,-0.9,99,0.0,-1.1,244,0.4,77,0.0,0.004440125077962875,0.0027889658
20210126,clip_29_1321,115,2021-01-26 13:21:00,2.2,79,0.0,-1.0,269,1.5,215,10.0,0.005505345296114683,0.0032174587
20210127,clip_0_1437,5,2021-01-27 14:37:00,-0.2,100,0.0,-0.2,20,1.4,16,0.0,0.0019474972505122423,0.0009110832
20210127,clip_20_2354,115,2021-01-27 23:54:00,-2.5,85,0.0,-4.7,344,2.9,0,0.0,0.001504315878264606,0.00085700495
20210127,clip_12_2013,115,2021-01-27 20:13:00,-1.0,94,0.0,-1.8,343,2.2,0,0.0,0.002059569349512458,0.0008733226
20210127,clip_14_2109,5,2021-01-27 21:09:00,-2.0,91,0.0,-3.3,338,2.3,0,0.0,0.0032648511696606874,0.0014209971
20210128,clip_0_0000,5,2021-01-28 00:00:00,-2.4,85,0.0,-4.6,332,2.6,0,0.0,0.0015907988417893648,0.0008683531
20210128,clip_52_2347,115,2021-01-28 23:47:00,-7.5,95,0.0,-8.2,0,0.0,0,0.0,0.001656941371038556,0.0010627037
20210128,clip_35_1602,5,2021-01-28 16:02:00,-3.3,83,0.0,-5.8,0,0.0,1,0.0,0.003351581748574972,0.002079594
20210128,clip_27_1239,5,2021-01-28 12:39:00,-0.4,72,0.0,-4.8,4,3.3,287,10.0,0.0032273721881210804,0.001941961
20210129,clip_0_0017,5,2021-01-29 00:17:00,-7.8,95,0.0,-8.4,0,0.0,0,0.0,0.0016055324813351035,0.0010058233
20210129,clip_48_2357,115,2021-01-29 23:57:00,-2.7,72,0.0,-7.1,336,1.0,0,0.0,0.0013769206125289202,0.00070818595
20210129,clip_19_1116,5,2021-01-29 11:16:00,-2.1,83,0.0,-4.6,51,2.1,219,10.0,0.002657333156093955,0.0016595162
20210129,clip_17_0813,115,2021-01-29 08:13:00,-5.9,95,0.0,-6.6,48,0.7,27,0.0,0.0020679188892245293,0.001228564
20210130,clip_0_0000,5,2021-01-30 00:00:00,-2.9,73,0.0,-7.0,348,0.5,0,0.0,0.0013662967830896378,0.00069171074
20210130,clip_36_1613,115,2021-01-30 16:13:00,-0.3,98,0.1,-0.5,241,2.1,0,0.0,0.0028343037702143192,0.0012523617
20210130,clip_19_0846,5,2021-01-30 08:46:00,-1.7,90,0.0,-3.1,238,1.5,72,3.0,0.0022923818323761225,0.0010543237
20210130,clip_6_0242,115,2021-01-30 02:42:00,-5.3,85,0.0,-7.4,192,0.7,0,0.0,0.004511198028922081,0.002723087
20210131,clip_0_0000,5,2021-01-31 00:00:00,-5.2,98,0.0,-5.5,217,1.2,0,0.0,0.0026924582198262215,0.0018800665
20210131,clip_52_2346,115,2021-01-31 23:46:00,-1.1,96,0.0,-1.7,188,2.4,0,0.0,0.0019814367406070232,0.0009622003
20210131,clip_23_1040,5,2021-01-31 10:40:00,-0.3,83,0.0,-2.8,263,1.6,269,10.0,0.002811255631968379,0.001999666
20210131,clip_9_0412,115,2021-01-31 04:12:00,-9.7,93,0.0,-10.6,264,1.0,0,0.0,0.0030635856091976166,0.0021824527
